index,freq,nrg_bal,siec,unit,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2105,A,AFC,E7000,GWH,FR,300436.588,319127.99,327987.499,330394.43,334753.416,340842.582,353954.443,353327.053,365451.881,374433.015,381911.522,393152.494,391326.032,405924.556,417680.572,420621.92,425047.561,423534.805,430224.644,412872.262,441759.558,432180.914,448677.201,455596.598,430944.391,440080.157,446160.293,443174.884,440289.989,435746.4,413206.042,432789.984,415919.927,397615.125,398935.463
2146,A,AFC,E7000,KTOE,FR,25832.897,27440.068,28201.849,28408.807,28783.613,29307.187,30434.604,30380.658,31423.206,32195.444,32838.48,33805.03,33647.982,34903.229,35914.065,36166.975,36547.512,36417.438,36992.661,35500.624,37984.485,37160.87,38579.295,39174.256,37054.548,37840.082,38362.88,38106.181,37858.125,37467.446,35529.324,37213.24,35762.676,34188.747,34302.275
2187,A,AFC,E7000,TJ,FR,1081571.719,1148860.764,1180754.996,1189419.948,1205112.299,1227033.295,1274235.994,1271977.39,1315626.77,1347958.855,1374881.479,1415348.979,1408773.714,1461328.403,1503650.058,1514238.911,1530171.218,1524725.297,1548808.717,1486340.145,1590334.408,1555851.291,1615237.924,1640147.753,1551399.807,1584288.566,1606177.055,1595429.582,1585043.962,1568687.042,1487541.751,1558043.943,1497311.737,1431414.449,1436167.667
10961,A,DL,E7000,GWH,FR,27703.0,30238.0,28735.0,29861.0,26269.0,30150.0,31982.0,29626.0,31477.0,30154.0,30411.0,30638.0,30898.0,31749.0,31735.0,32231.0,31805.0,31613.0,33481.0,34878.0,35414.0,36922.672,37855.368,38785.214,34526.921,36140.43,37478.04,38599.301,38620.285,38092.724,35896.94,39194.338,35231.325,37130.685,39054.974
11002,A,DL,E7000,KTOE,FR,2382.029,2600.0,2470.765,2567.584,2258.727,2592.433,2749.957,2547.377,2706.535,2592.777,2614.875,2634.394,2656.75,2729.923,2728.719,2771.367,2734.738,2718.229,2878.848,2998.968,3045.056,3174.778,3254.976,3334.928,2968.781,3107.518,3222.531,3318.942,3320.747,3275.385,3086.581,3370.106,3029.349,3192.664,3358.123
11043,A,DL,E7000,TJ,FR,99730.8,108856.8,103446.0,107499.6,94568.4,108540.0,115135.2,106653.6,113317.2,108554.4,109479.6,110296.8,111232.8,114296.4,114246.0,116031.6,114498.0,113806.8,120531.6,125560.8,127490.4,132921.619,136279.325,139626.77,124296.916,130105.548,134920.944,138957.484,139033.026,137133.806,129228.984,141099.617,126832.77,133670.467,140597.905
19790,A,EXP,E7000,GWH,FR,52112.0,58409.0,58533.0,65093.0,66886.0,72701.0,72428.0,69634.0,62152.0,68108.0,73174.0,72861.0,80739.0,73373.0,68477.0,68390.0,71863.0,67595.0,58736.0,44451.0,50188.0,65914.0,56734.0,60148.0,75063.0,74024.0,61404.0,61248.042,76478.785,73298.799,64575.296,69226.701,37492.746,75903.55,105106.682
19831,A,EXP,E7000,KTOE,FR,4480.825,5022.27,5032.932,5596.991,5751.161,6251.161,6227.687,5987.446,5344.11,5856.234,6291.831,6264.918,6942.304,6308.942,5887.962,5880.482,6179.106,5812.124,5050.387,3822.098,4315.391,5667.584,4878.246,5171.797,6454.256,6364.918,5279.794,5266.384,6575.992,6302.562,5552.476,5952.425,3223.796,6526.531,9037.548
19872,A,EXP,E7000,TJ,FR,187603.2,210272.4,210718.8,234334.8,240789.6,261723.6,260740.8,250682.4,223747.2,245188.8,263426.4,262299.6,290660.4,264142.8,246517.2,246204.0,258706.8,243342.0,211449.6,160023.6,180676.8,237290.4,204242.4,216532.8,270226.8,266486.4,221054.4,220492.951,275323.626,263875.676,232471.066,249216.124,134973.886,273252.78,378384.054
28625,A,FC_E,E7000,GWH,FR,302230.0,321362.0,330327.0,332598.0,337493.0,342850.0,355834.0,355458.0,367437.0,374959.0,384903.0,395777.0,393486.0,408400.0,420160.0,422771.0,426925.0,426015.0,432736.0,417955.0,444089.0,424492.199,443797.298,450918.39,425402.194,435031.637,442743.358,439365.409,437102.253,431704.8,411359.415,432837.369,414276.165,397499.77,398264.37
